@relation abc-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R6

@attribute DAY_OF_MONTH numeric
@attribute DAY_OF_WEEK numeric
@attribute CARRIER {AA,B6,DL,EV,MQ,OO,UA,WN}
@attribute ORIGIN {JFK,LAX,DFW,ORD,BOS,DEN,EWR}
@attribute DEP_TIME numeric
@attribute DISTANCE numeric
@attribute DEP_DEL15 {notdelayed,delayed}

@data
18,5,AA,DFW,1,3,notdelayed
21,1,MQ,ORD,2,0,notdelayed
9,3,MQ,DFW,2,1,notdelayed
1,2,DL,LAX,1,10,notdelayed
27,7,EV,BOS,2,2,delayed
23,3,WN,DEN,1,2,delayed
28,1,AA,DFW,1,0,delayed
10,4,AA,JFK,2,9,delayed
9,3,MQ,ORD,2,0,notdelayed
21,1,B6,BOS,2,0,delayed
26,6,WN,DEN,2,6,notdelayed
26,6,AA,JFK,1,9,delayed
16,3,DL,JFK,1,4,notdelayed
23,3,AA,BOS,1,2,delayed
7,1,MQ,ORD,2,1,notdelayed
13,7,AA,ORD,1,3,delayed
10,4,AA,ORD,2,6,notdelayed
4,5,UA,EWR,2,6,delayed
4,5,OO,ORD,0,1,notdelayed
20,7,WN,DEN,1,3,notdelayed
16,3,B6,EWR,1,0,notdelayed
21,1,UA,ORD,0,1,notdelayed
22,2,EV,EWR,2,2,notdelayed
27,7,WN,DEN,2,4,delayed
17,4,AA,ORD,1,6,delayed
13,7,UA,LAX,2,9,notdelayed
15,2,AA,DFW,1,5,notdelayed
29,2,AA,ORD,2,3,delayed
23,3,AA,ORD,2,6,notdelayed
17,4,AA,LAX,0,1,notdelayed
16,3,AA,DFW,2,2,notdelayed
29,2,UA,DEN,1,1,delayed
22,2,AA,DFW,1,4,delayed
6,7,WN,LAX,2,2,delayed
2,3,MQ,DFW,2,2,delayed
23,3,OO,LAX,1,4,notdelayed
20,7,WN,DEN,1,2,delayed
8,2,AA,DFW,1,4,delayed
10,4,WN,BOS,0,3,notdelayed
17,4,UA,ORD,2,2,delayed
10,4,MQ,ORD,1,1,notdelayed
23,3,OO,ORD,1,2,notdelayed
4,5,EV,ORD,1,1,notdelayed
15,2,WN,LAX,1,1,notdelayed
14,1,WN,LAX,2,1,delayed
1,2,WN,DEN,2,6,delayed
30,3,DL,EWR,2,1,notdelayed
2,3,AA,ORD,2,6,delayed
8,2,EV,ORD,1,0,delayed
28,1,UA,ORD,1,2,delayed
8,2,AA,BOS,0,1,notdelayed
4,5,AA,DFW,2,5,delayed
13,7,AA,DFW,1,3,notdelayed
30,3,B6,BOS,2,2,delayed
21,1,UA,ORD,0,3,notdelayed
15,2,AA,DFW,1,0,delayed
16,3,MQ,ORD,1,0,notdelayed
3,4,OO,LAX,2,0,delayed
29,2,AA,DFW,2,4,notdelayed
12,6,UA,DFW,0,2,notdelayed
30,3,AA,BOS,2,3,delayed
11,5,AA,ORD,0,3,notdelayed
23,3,DL,LAX,1,2,delayed
27,7,AA,JFK,2,10,notdelayed
13,7,UA,DEN,1,4,notdelayed
29,2,UA,DEN,1,6,notdelayed
23,3,MQ,ORD,0,1,notdelayed
8,2,UA,ORD,1,2,delayed
1,2,B6,ORD,2,2,notdelayed
28,1,MQ,DFW,1,2,notdelayed
1,2,AA,DFW,1,5,notdelayed
7,1,OO,LAX,1,0,notdelayed
13,7,AA,LAX,1,6,delayed
27,7,WN,LAX,1,7,notdelayed
29,2,OO,DEN,1,2,delayed
4,5,OO,LAX,1,4,delayed
22,2,UA,ORD,0,2,delayed
30,3,UA,ORD,1,3,delayed
27,7,UA,ORD,1,2,notdelayed
29,2,UA,ORD,1,2,delayed
15,2,OO,ORD,2,0,delayed
26,6,AA,DFW,0,3,notdelayed
9,3,AA,DFW,1,4,delayed
13,7,AA,DFW,1,5,delayed
16,3,AA,DFW,1,3,notdelayed
8,2,MQ,ORD,2,2,delayed
17,4,WN,LAX,2,1,notdelayed
11,5,UA,DEN,1,2,delayed
1,2,UA,ORD,1,2,notdelayed
23,3,AA,DFW,1,5,notdelayed
29,2,EV,ORD,1,2,notdelayed
25,5,B6,JFK,1,0,delayed
17,4,AA,DFW,1,2,delayed
27,7,UA,ORD,2,2,notdelayed
23,3,OO,LAX,1,0,notdelayed
9,3,EV,EWR,2,0,delayed
30,3,UA,BOS,2,3,delayed
7,1,WN,BOS,2,1,delayed
27,7,MQ,DFW,1,0,delayed
30,3,OO,LAX,2,0,delayed
8,2,OO,DEN,2,1,notdelayed
2,3,MQ,DFW,1,3,notdelayed
13,7,OO,ORD,0,0,notdelayed
1,2,WN,LAX,2,0,delayed
24,4,AA,LAX,0,9,notdelayed
8,2,AA,DFW,0,3,notdelayed
16,3,UA,ORD,1,3,delayed
8,2,WN,DEN,2,2,delayed
4,5,UA,DEN,1,4,notdelayed
14,1,B6,JFK,2,9,notdelayed
22,2,AA,DFW,1,3,notdelayed
26,6,WN,LAX,0,3,notdelayed
7,1,AA,ORD,0,4,notdelayed
18,5,AA,DFW,2,3,delayed
18,5,UA,JFK,1,10,notdelayed
3,4,OO,ORD,2,0,delayed
17,4,UA,LAX,0,3,notdelayed
13,7,MQ,DFW,2,1,notdelayed
14,1,AA,DFW,0,6,notdelayed
4,5,OO,DEN,0,1,notdelayed
14,1,UA,ORD,1,2,notdelayed
15,2,WN,DEN,0,3,delayed
7,1,AA,ORD,2,6,notdelayed
4,5,MQ,ORD,2,0,delayed
5,6,MQ,ORD,2,0,notdelayed
17,4,MQ,ORD,0,1,delayed
22,2,OO,ORD,2,0,notdelayed
25,5,WN,LAX,2,1,delayed
12,6,OO,LAX,1,0,delayed
10,4,AA,DFW,1,1,delayed
17,4,AA,DFW,1,4,delayed
9,3,B6,JFK,2,2,delayed
22,2,WN,LAX,0,5,notdelayed
20,7,WN,LAX,1,3,notdelayed
21,1,AA,LAX,1,1,delayed
18,5,MQ,ORD,2,0,delayed
30,3,DL,ORD,1,2,delayed
4,5,EV,ORD,2,0,notdelayed
5,6,AA,DFW,2,6,notdelayed
3,4,B6,EWR,2,0,notdelayed
12,6,AA,ORD,1,4,notdelayed
30,3,UA,ORD,1,3,delayed
10,4,EV,EWR,1,2,notdelayed
22,2,UA,BOS,2,10,delayed
6,7,OO,LAX,1,0,notdelayed
3,4,AA,LAX,2,9,delayed
29,2,UA,ORD,2,3,notdelayed
5,6,AA,DFW,2,3,notdelayed
28,1,AA,DFW,0,3,delayed
1,2,EV,ORD,0,2,notdelayed
17,4,UA,DFW,1,5,delayed
3,4,AA,DFW,2,4,delayed
21,1,UA,LAX,1,10,delayed
13,7,MQ,ORD,1,0,notdelayed
21,1,DL,LAX,2,1,notdelayed
8,2,AA,LAX,2,0,delayed
29,2,UA,DEN,1,4,notdelayed
21,1,WN,BOS,2,7,notdelayed
18,5,UA,LAX,2,9,delayed
5,6,AA,LAX,0,9,notdelayed
3,4,MQ,ORD,2,0,delayed
24,4,B6,BOS,1,9,notdelayed
14,1,B6,JFK,0,10,notdelayed
24,4,AA,DFW,2,4,notdelayed
20,7,MQ,ORD,2,0,delayed
